Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
332,1661422117612,8420.0,272.0,572.0
333,1661422117616,8440.0,-36.0,520.0
334,1661422117618,8632.0,36.0,448.0
335,1661422117620,8500.0,-60.0,604.0
336,1661422117622,8564.0,92.0,568.0
337,1661422117624,8408.0,264.0,532.0
338,1661422117627,8364.0,-80.0,520.0
339,1661422117630,8696.0,-236.0,428.0
340,1661422117632,8372.0,-56.0,692.0
341,1661422117633,8636.0,-180.0,608.0
342,1661422117635,8484.0,76.0,720.0
343,1661422117637,8232.0,-32.0,592.0
344,1661422117639,8632.0,4.0,564.0
345,1661422117642,8400.0,-72.0,568.0
346,1661422117644,8284.0,220.0,532.0
347,1661422117646,8436.0,-188.0,532.0
348,1661422117650,8508.0,-60.0,672.0
349,1661422117650,8504.0,0.0,728.0
350,1661422117653,8516.0,-472.0,472.0
351,1661422117655,8308.0,336.0,396.0
352,1661422117657,8584.0,-32.0,544.0
353,1661422117659,8728.0,-144.0,592.0
354,1661422117661,8092.0,8.0,488.0
355,1661422117663,8552.0,-28.0,388.0
356,1661422117666,8288.0,-188.0,488.0
357,1661422117668,8452.0,208.0,680.0
358,1661422117671,8400.0,-320.0,448.0
359,1661422117672,8428.0,108.0,624.0
360,1661422117675,8704.0,152.0,656.0
361,1661422117677,8348.0,-116.0,508.0
362,1661422117679,8384.0,8.0,532.0
363,1661422117681,8500.0,-28.0,492.0
364,1661422117684,8724.0,4.0,480.0
365,1661422117686,8480.0,76.0,608.0
366,1661422117689,8524.0,28.0,332.0
367,1661422117690,8636.0,-276.0,480.0
368,1661422117693,8516.0,-8.0,516.0
369,1661422117694,8416.0,216.0,552.0
370,1661422117696,8180.0,-212.0,404.0
371,1661422117699,8624.0,48.0,432.0
372,1661422117702,8496.0,80.0,532.0
373,1661422117703,8652.0,-260.0,400.0
374,1661422117706,8508.0,168.0,620.0
375,1661422117708,8744.0,-20.0,368.0
376,1661422117710,8444.0,-116.0,480.0
377,1661422117711,8756.0,220.0,448.0
378,1661422117714,8640.0,92.0,464.0
379,1661422117718,8232.0,-276.0,528.0
380,1661422117718,8692.0,288.0,652.0
381,1661422117722,8604.0,-348.0,436.0
382,1661422117723,8272.0,60.0,396.0
383,1661422117725,8492.0,96.0,736.0
384,1661422117728,8576.0,-180.0,456.0
385,1661422117729,8512.0,40.0,460.0
386,1661422117733,8448.0,40.0,564.0
387,1661422117735,8388.0,60.0,412.0
388,1661422117736,8528.0,96.0,684.0
389,1661422117739,8488.0,-188.0,396.0
390,1661422117740,8560.0,-80.0,468.0
391,1661422117743,8932.0,-200.0,604.0
392,1661422117744,8660.0,140.0,584.0
393,1661422117746,8188.0,-44.0,616.0
394,1661422117751,8640.0,-96.0,612.0
395,1661422117751,8360.0,-224.0,360.0
396,1661422117754,8544.0,56.0,628.0
397,1661422117756,8180.0,-112.0,432.0
398,1661422117758,8436.0,-64.0,500.0
399,1661422117761,8588.0,-168.0,372.0
400,1661422117762,8744.0,128.0,528.0
401,1661422117764,8400.0,64.0,412.0
402,1661422117767,8280.0,16.0,616.0
403,1661422117769,8656.0,-52.0,480.0
