Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
485,1661422685664,8460.0,176.0,444.0
486,1661422685669,8452.0,-48.0,568.0
487,1661422685670,8572.0,108.0,404.0
488,1661422685672,8588.0,-124.0,620.0
489,1661422685674,8300.0,-140.0,364.0
490,1661422685676,8488.0,320.0,564.0
491,1661422685678,8308.0,-276.0,548.0
492,1661422685680,8444.0,88.0,540.0
493,1661422685682,8624.0,236.0,432.0
494,1661422685685,8696.0,-200.0,500.0
495,1661422685688,8160.0,416.0,492.0
496,1661422685689,8952.0,-424.0,644.0
497,1661422685692,8516.0,200.0,364.0
498,1661422685694,8404.0,-396.0,484.0
499,1661422685695,8600.0,-592.0,512.0
500,1661422685699,8384.0,-68.0,648.0
501,1661422685699,8248.0,156.0,700.0
502,1661422685703,8660.0,-180.0,488.0
503,1661422685705,8384.0,48.0,540.0
504,1661422685707,8452.0,-224.0,500.0
505,1661422685710,8596.0,152.0,592.0
506,1661422685711,8240.0,140.0,448.0
507,1661422685713,8732.0,-148.0,476.0
508,1661422685718,8764.0,-304.0,608.0
509,1661422685718,8280.0,20.0,292.0
510,1661422685721,8900.0,-48.0,744.0
511,1661422685723,8216.0,-156.0,564.0
512,1661422685725,8544.0,44.0,608.0
513,1661422685727,8464.0,-56.0,652.0
514,1661422685728,8408.0,-248.0,584.0
515,1661422685733,8584.0,172.0,676.0
516,1661422685733,8472.0,-120.0,632.0
517,1661422685736,8584.0,172.0,580.0
518,1661422685738,8624.0,-172.0,384.0
519,1661422685740,8532.0,-48.0,460.0
520,1661422685741,8344.0,268.0,448.0
521,1661422685744,8560.0,-436.0,320.0
522,1661422685746,8400.0,256.0,624.0
523,1661422685748,8628.0,-136.0,636.0
524,1661422685751,8612.0,-12.0,436.0
525,1661422685753,8372.0,172.0,772.0
526,1661422685756,8588.0,-140.0,608.0
527,1661422685757,8184.0,228.0,416.0
528,1661422685760,8600.0,-620.0,548.0
529,1661422685761,8764.0,-104.0,316.0
530,1661422685763,8308.0,-172.0,408.0
531,1661422685767,8388.0,-200.0,608.0
532,1661422685770,8500.0,-320.0,464.0
533,1661422685771,8680.0,40.0,716.0
534,1661422685773,8396.0,-12.0,420.0
535,1661422685775,8328.0,596.0,672.0
536,1661422685777,8404.0,-68.0,540.0
537,1661422685779,8932.0,-172.0,464.0
538,1661422685781,8360.0,80.0,496.0
539,1661422685784,8680.0,-180.0,464.0
